#FORMAT=WebAnno TSV 3.3
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS|PosValue|coarseValue
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma|value
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.SurfaceForm|value
#T_SP=webanno.custom.SemanticRoles|SemanticRoles
#T_RL=de.tudarmstadt.ukp.dkpro.core.api.syntax.type.dependency.Dependency|DependencyType|flavor|BT_de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS


#Sentence.id=1
#Text=▁E heyi ▁Yohanɛɛsɩ ▁ḿbʋ́ .
1-1	0-2	▁E	*	PRON	_	_	Agent	nsubj:arg	basic	1-2	
1-2	3-7	heyi	*	VERB	heyuu	_	_	root	basic	1-2	
1-3	8-18	▁Yohanɛɛsɩ	*	NOUN	_	_	Recipient	iobj:arg	basic	1-2	
1-4	19-24	▁ḿbʋ́	*	ADV	_	_	Theme	obj:arg	basic	1-2	
1-5	25-26	.	*	PUNCT	_	_	_	punct	basic	1-2	

#Sentence.id=2
#Text=▁Layʋ ▁labɩ -ɩ ▁lɩm ▁sɔʋ ▁sɔnzɩ .
2-1	27-32	▁Layʋ	*	NOUN	_	_	Agent	nsubj:arg	basic	2-2	
2-2	33-38	▁labɩ	*	VERB	labʋ	_	_	root	basic	2-2	
2-3	39-41	-ɩ	*	PRON	-ɩ	_	Beneficiary	iobj:arg	basic	2-2	
2-4	42-46	▁lɩm	*	NOUN	_	_	_	compound	basic	2-5	
2-5	47-51	▁sɔʋ	*	NOUN	_	_	_	nmod	basic	2-6	
2-6	52-58	▁sɔnzɩ	*	NOUN	_	_	Theme	obj:arg	basic	2-2	
2-7	59-60	.	*	PUNCT	_	_	_	punct	basic	2-2	

#Sentence.id=3
#Text=▁Pɩ labɩ -wɛ ▁piti ▁pɩŋŋ .
3-1	61-64	▁Pɩ	*	PRON	_	_	_	expl	basic	3-2	
3-2	65-69	labɩ	*	VERB	labʋ	_	_	root	basic	3-2	
3-3	70-73	-wɛ	*	PRON	-wɛ	_	Beneficiary	iobj:arg	basic	3-2	
3-4	74-79	▁piti	*	NOUN	_	_	Theme	obj:arg	basic	3-2	
3-5	80-85	▁pɩŋŋ	*	ADV	_	_	_	advmod	basic	3-2	
3-6	86-87	.	*	PUNCT	_	_	_	punct	basic	3-2	

#Sentence.id=4
#Text=▁E heyi -wɛ ▁ḿbʋ́ ▁lɛ , ▁ɛ caŋ ▁ɛ ɖɛɛ ▁ɖoli ▁lɛɛɖɛ .
4-1	88-90	▁E	*	PRON	_	_	Agent	nsubj:arg	basic	4-2	
4-2	91-95	heyi	*	VERB	heyuu	_	_	advcl	basic	4-10	
4-3	96-99	-wɛ	*	PRON	-wɛ	_	Recipient	iobj:arg	basic	4-2	
4-4	100-105	▁ḿbʋ́	*	ADV	_	_	Theme	obj:arg	basic	4-2	
4-5	106-109	▁lɛ	*	SCONJ	_	_	_	mark	basic	4-2	
4-6	110-111	,	*	PUNCT	_	_	_	punct	basic	4-2	
4-7	112-114	▁ɛ	*	PRON	_	_	Agent	nsubj:arg	basic	4-10	
4-8	115-118	caŋ	*	ADV	_	_	_	advmod	basic	4-10	
4-9	119-121	▁ɛ	*	PRON	_	_	Agent	flat	basic	4-7	
4-10	122-125	ɖɛɛ	*	VERB	ɖɛʋ	_	_	root	basic	4-10	
4-11	126-131	▁ɖoli	*	ADV	_	_	Location	advmod	basic	4-10	
4-12	132-138	▁lɛɛɖɛ	*	ADJ	_	_	_	amod	basic	4-11	
4-13	139-140	.	*	PUNCT	_	_	_	punct	basic	4-10	

#Sentence.id=5
#Text=▁Ɛsɔ▁ñɩma ▁laba ▁tʋma ▁kɩbana .
5-1	141-150	▁Ɛsɔ▁ñɩma	*	NOUN	▁Ɛsɔ▁ñɩma	▁Ɛsɔ▁ñɩma[1]	Agent	nsubj:arg	basic	5-2	
5-2	151-156	▁laba	*	VERB	labʋ	▁Ɛsɔ▁ñɩma[1]	_	root	basic	5-2	
5-3	157-162	▁tʋma	*	NOUN	_	_	Theme	obj:arg	basic	5-2	
5-4	163-170	▁kɩbana	*	ADJ	_	_	_	amod	basic	5-3	
5-5	171-172	.	*	PUNCT	_	_	_	punct	basic	5-2	

#Sentence.id=6
#Text=▁Wiyaʋ ▁cosi -wɛ ▁se ▁yoo .
6-1	173-179	▁Wiyaʋ	*	NOUN	_	_	Agent	nsubj:arg	basic	6-2	
6-2	180-185	▁cosi	*	VERB	cosuu	_	_	root	basic	6-2	
6-3	186-189	-wɛ	*	PRON	-wɛ	_	Recipient	iobj:arg	basic	6-2	
