verb_lemma,num_distinct_frames
Kʋyʋʋ,1
Tiyinuu,1
cadʋʋ,1
calʋ,1
calʋʋ,2
canʋʋ,1
cazʋʋ,4
caɣnʋʋ,1
caɣzʋʋ,1
caɣʋ,9
caɣʋʋ,2
caʋ,5
ceyuu,1
ceɣuu,1
ciɣduu,1
cosuu,7
cozuu,1
coɖuu,2
cɔnʋʋ,8
cɔtʋʋ,2
cɔzʋʋ,3
cɔʋ,6
cɛbʋ,7
cɛlʋʋ,6
cɛtʋ,1
cɛtʋʋ,6
cɛyʋʋ,4
cɛzʋʋ,1
cɩbʋ,4
cɩdɩlʋʋ,1
cɩyʋʋ,3
falʋʋ,2
faɣʋ,1
fem,4
fezuu,3
feŋuu,2
fiɣnuu,1
fɛtʋʋ,1
fɛyʋʋ,1
fɛʋ,1
hadʋʋ,1
hayʋʋ,2
hazʋʋ,2
haɣʋ,1
haʋ,10
heyuu,13
hiu,4
holuu,3
hoyuu,1
hutuu,2
huu,2
huuzuu,2
huyuu,2
hɔkʋʋ,5
hɔm,4
hɔzʋʋ,2
hɔɔlʋʋ,1
hɔɔzʋʋ,2
hɔɔʋ,1
hɛnʋʋ,1
hɛyʋʋ,6
hɛzʋʋ,4
hɛʋ,1
hɩnʋʋ,1
hɩzʋʋ,1
hʋlɩsʋʋ,1
hʋlʋmʋʋ,6
hʋlʋʋ,2
hʋm,2
hʋʋ,8
kalʋʋ,5
kam,4
kasʋʋ,1
katʋʋ,3
kazʋʋ,7
kaɖɩnʋʋ,1
kaɖʋʋ,6
kaɣʋ,2
kaʋ,1
kem,1
kisi,1
kitinuu,2
kituu,1
kizinuu,1
kizuu,6
koluu,1
kotuu,1
kou,3
koyuu,2
kpadɩyʋʋ,2
kpalʋʋ,1
kpanʋʋ,2
kpazʋʋ,7
kpaɣʋ,10
kpaʋ,10
kpedesuu,3
kpem,4
kpendʋʋ,1
kpeɣlu,1
kpeɣluu,5
kpeɣu,6
kpibu,1
kpibuu,1
kpiyuu,1
kpiɖuu,2
kpɛdʋʋ,2
kpɛlɩkʋʋ,5
kpɛndɩnʋʋ,4
kpɛndʋʋ,3
kpɛyʋʋ,1
kpɛzɩnʋʋ,1
kpɛzʋʋ,6
kpɛʋ,1
kpɩtʋʋ,1
kuluu,4
kuu,1
kɔm,8
kɔnʋʋ,5
kɔzʋʋ,1
kɔʋ,3
kɛdɩnʋʋ,5
kɛdʋʋ,10
kɛnʋʋ,2
kɛzʋʋ,3
kɛʋ,13
kɩlʋʋ,11
kɩndʋʋ,2
kʋm,4
kʋndɩnʋʋ,1
kʋndʋʋ,5
kʋsʋʋ,2
kʋyʋʋ,6
kʋʋ,6
labɩnʋʋ,2
labʋ,19
layʋʋ,2
laɣzʋʋ,3
laʋ,7
lebu,2
lem,3
lesuu,3
leɖuu,2
libuu,1
limuu,1
liu,1
lizuu,2
liɣtuu,3
losuu,2
lou,1
luu,3
luzuu,3
luŋuu,2
lɔʋ,5
lɛkʋʋ,1
lɛyʋʋ,3
lɛzʋʋ,1
lɛɣzʋʋ,6
lɛʋ,1
lɩnʋʋ,4
lɩzʋʋ,10
lɩʋ,8
lʋbʋ,3
lʋbʋʋ,1
lʋlʋʋ,4
lʋʋ,1
mabʋ,4
malɩsʋʋ,3
malʋʋ,1
mayʋʋ,1
maɣnʋʋ,4
maɣzɩnʋʋ,2
maɣzʋʋ,6
maɣʋ,1
maʋ,10
muluu,1
mɛlʋʋ,1
mɛsʋʋ,3
mɩlʋʋ,4
mɩsʋʋ,1
mɩzʋʋ,4
mʋnʋʋ,9
mʋzʋʋ,1
mʋʋ,7
mʋʋzʋʋ,1
mʋʋʋ,2
mʋʋ́ʋ,1
nazʋʋ,2
naŋʋʋ,1
naʋ,12
nezuu,2
niɣzʋʋ,1
nuutuu,2
nɩnʋʋ,4
nɩzʋʋ,1
nɩɣzɩnʋʋ,2
nɩɣzʋʋ,1
nɩʋ,8
padʋʋ,1
palʋʋ,1
pam,3
pasʋʋ,1
pazʋʋ,10
paŋʋʋ,4
paɖʋʋ,1
paɣlʋʋ,1
paɣʋ,3
paʋ,1
peenduu,1
peɣzuu,2
pilimuu,1
pilisuu,1
pim,2
pisuu,3
piyuu,1
piyʋʋ,1
posuu,2
puu,1
puzuu,1
pɔzʋʋ,17
pɔʋ,1
pɛdʋʋ,1
pɛlʋʋ,1
pɛm,2
pɛɖʋʋ,4
pɩnʋʋ,1
pɩsɩnʋʋ,5
pɩsʋʋ,12
pɩyʋʋ,4
pɩzʋʋ,4
pɩʋ,4
pʋtʋʋ,1
pʋʋ,1
pʋʋtʋʋ,1
salʋʋ,1
sam,4
sazʋʋ,1
saʋ,3
seluu,1
seu,5
sezuu,1
seɣtuu,2
seʋ,1
siduu,3
sisuu,1
siu,1
siɣu,3
siɣʋ,1
sobuu,1
sulunuu,2
suluu,1
sum,2
susunuu,1
susuu,6
suu,9
suyuu,1
sɔbʋ,3
sɔm,2
sɔzʋʋ,4
sɔɔlʋʋ,5
sɔɔndʋʋ,3
sɔʋ,7
sɛtʋʋ,3
sɛɣʋ,2
sɛɣʋʋ,1
sɛʋ,10
sɩbʋ,3
sɩm,6
sɩnzʋʋ,1
sɩnʋʋ,7
sɩzʋʋ,1
sɩŋʋʋ,6
sɩɣlʋʋ,1
sɩɣzʋʋ,1
sɩʋ,7
sʋlʋmʋʋ,6
sʋnʋʋ,2
sʋzʋʋ,1
sʋʋ,7
sʋʋʋ,1
takʋʋ,4
talʋ,1
talʋʋ,9
tam,2
tanʋʋ,2
tasɩnʋʋ,1
tasʋʋ,12
tayʋʋ,5
taʋ,3
tenduu,7
teu,2
tibu,5
tiluu,1
tisuu,7
tituu,1
tiyinuu,6
tiyuu,7
tolisuu,1
tuduu,1
tukunuu,3
tuu,1
tuuluu,1
tuuu,3
tuzuu,2
tɔlʋʋ,4
tɔm,5
tɔnzʋʋ,1
tɔyɩtʋʋ,1
tɔzʋʋ,8
tɔɔlʋʋ,2
tɔɔʋ,10
tɔʋ,4
tɛm,10
tɛmnʋʋ,1
tɛzʋʋ,9
tɛŋɛlʋʋ,1
tɛɖʋʋ,3
tɩlʋʋ,5
tɩmʋʋ,1
tɩnʋʋ,3
tɩsʋʋ,1
tɩyʋʋ,1
tɩzʋʋ,2
tɩŋnʋʋ,7
tɩŋɩʋʋ,1
tɩŋʋʋ,6
tɩɣyʋʋ,1
tɩɣzɩnʋʋ,1
tʋlʋʋ,3
tʋʋ,2
tʋʋzʋʋ,3
wabʋ,3
wadʋʋ,1
walʋʋ,3
wanʋʋ,1
wasʋʋ,1
wazʋʋ,4
waʋ,1
welesinuu,1
welesuu,4
weʋ,2
wiluu,2
winuu,3
wiu,2
wobu,7
wonuu,8
wonʋʋ,1
woŋuu,1
wɛnʋʋ,6
wɛɛkʋʋ,5
wɛɛtʋʋ,1
wɛʋ,19
wɩlʋʋ,12
wɩzʋʋ,3
wɩʋ,6
yabʋ,5
yasʋʋ,1
yaɣʋ,2
yaʋ,11
yebu,14
yiluu,2
yoluu,1
yonuu,1
you,2
yozuu,1
yuu,1
yɔkʋʋ,4
yɔlɩsʋʋ,1
yɔɔdɩnʋʋ,5
yɔɔdʋʋ,8
yɛlʋʋ,1
yɛɖʋʋ,2
yɩɣyʋʋ,2
yʋlɩsʋʋ,2
yʋlʋmʋʋ,1
yʋsʋʋ,2
ñalɩzʋʋ,1
ñalʋʋ,4
ñam,4
ñamsʋʋ,3
ñasʋʋ,2
ñazʋʋ,1
ñaɣyʋʋ,1
ñaɣzʋʋ,1
ñaɣʋ,4
ñaʋ,1
ñɔkɔyɩnʋʋ,1
ñɔtɩnʋʋ,3
ñɔtʋʋ,1
ñɔzʋʋ,1
ñɔɔzʋʋ,7
ñɔʋ,4
ñɛyʋʋ,2
ñɩbʋ,1
ñɩkʋʋ,3
ñɩlɩsʋʋ,1
ñɩlɩzʋʋ,1
ñɩm,1
ñɩnʋʋ,6
ñɩtʋʋ,1
ñɩŋʋʋ,2
ñɩɣʋ,4
đɔkʋʋ,1
đɛʋ,2
Ɩɩʋ,1
ɖabʋ,1
ɖanʋʋ,4
ɖazʋʋ,2
ɖaŋʋʋ,6
ɖaɣlʋʋ,1
ɖaɣnʋʋ,5
ɖem,2
ɖenuu,1
ɖewuu,1
ɖezuu,2
ɖiyuu,2
ɖizuu,1
ɖiɣzinuu,4
ɖou,3
ɖozuu,2
ɖuu,4
ɖuuni,1
ɖuunuu,3
ɖuuu,1
ɖɔkʋʋ,8
ɖɔm,6
ɖɔɔnʋʋ,2
ɖɔʋ,2
ɖɔ́kʋʋ,1
ɖɛnʋʋ,3
ɖɛzʋʋ,2
ɖɛʋ,7
ɖɩkʋʋ,1
ɖɩŋʋʋ,2
ɖɩɣnʋʋ,1
ɖɩɣzʋ,1
ɖɩɣzʋʋ,2
ɖɩɣʋ,4
ɖʋnʋʋ,2
ɖʋzɩ,2
ɖʋzʋʋ,3
ɖʋʋ,12
