sent_id,verb_tok_id,verb_lemma,frame,core_arguments,num_core_args
'1,'1-2,heyuu,"V[iobj:arg,nsubj:arg,obj:arg]","['iobj:arg', 'nsubj:arg', 'obj:arg']",3
'2,'2-2,labʋ,"V[iobj:arg,nsubj:arg,obj:arg]","['iobj:arg', 'nsubj:arg', 'obj:arg']",3
'3,'3-2,labʋ,"V[expl,iobj:arg,obj:arg]","['expl', 'iobj:arg', 'obj:arg']",3
'4,'4-2,heyuu,"V[iobj:arg,nsubj:arg,obj:arg]","['iobj:arg', 'nsubj:arg', 'obj:arg']",3
'4,'4-10,ɖɛʋ,V[nsubj:arg],['nsubj:arg'],1
'5,'5-2,labʋ,"V[nsubj:arg,obj:arg]","['nsubj:arg', 'obj:arg']",2
'6,'6-2,cosuu,"V[ccomp:arg,iobj:arg,nsubj:arg]","['ccomp:arg', 'iobj:arg', 'nsubj:arg']",3
'7,'7-5,wɛʋ,V[nsubj:arg],['nsubj:arg'],1
'8,'8-6,kʋyʋʋ,V[nsubj:arg],['nsubj:arg'],1
'9,'9-3,cɛbʋ,V[nsubj:arg],['nsubj:arg'],1
'10,'10-4,cɛbʋ,V[nsubj:arg],['nsubj:arg'],1
'11,'11-2,tisuu,V[nsubj:arg],['nsubj:arg'],1
'12,'12-4,tɩnʋʋ,"V[nsubj:arg,obj:arg]","['nsubj:arg', 'obj:arg']",2
'13,'13-2,ɖuuni,"V[ccomp:arg,nsubj:arg,obj:arg]","['ccomp:arg', 'nsubj:arg', 'obj:arg']",3
'13,'13-8,yɔɔdʋʋ,V[nsubj:arg],['nsubj:arg'],1
'14,'14-4,maɣzʋʋ,"V[nsubj:arg,obl:arg]","['nsubj:arg', 'obl:arg']",2
'14,'14-7,yɔɔdʋʋ,"V[nsubj:arg,obj:arg]","['nsubj:arg', 'obj:arg']",2
'15,'15-5,yɔɔdʋʋ,V[nsubj:arg],['nsubj:arg'],1
'16,'16-3,yɔkʋʋ,"V[nsubj:arg,obj:arg]","['nsubj:arg', 'obj:arg']",2
'17,'17-2,sɩm,"V[nsubj:arg,obj:arg]","['nsubj:arg', 'obj:arg']",2
'18,'18-2,hʋʋ,"V[nsubj:arg,obj:arg]","['nsubj:arg', 'obj:arg']",2
'18,'18-10,seu,"V[nsubj:arg,obj:arg]","['nsubj:arg', 'obj:arg']",2
'19,'19-2,maʋ,"V[ccomp:arg,nsubj:arg]","['ccomp:arg', 'nsubj:arg']",2
'19,'19-5,pɩsʋʋ,V[nsubj:arg],['nsubj:arg'],1
'19,'19-6,kɔm,V[],[],0
'20,'20-3,pɩsɩnʋʋ,"V[iobj:arg,nsubj:arg,obj:arg]","['iobj:arg', 'nsubj:arg', 'obj:arg']",3
'21,'21-3,kʋyʋʋ,"V[nsubj:arg,obl:arg]","['nsubj:arg', 'obl:arg']",2
'21,'21-9,ɖɛʋ,V[nsubj:arg],['nsubj:arg'],1
'22,'22-2,heyuu,"V[iobj:arg,nsubj:arg]","['iobj:arg', 'nsubj:arg']",2
'22,'22-6,kʋyʋʋ,V[nsubj:arg],['nsubj:arg'],1
'23,'23-3,tɔm,"V[ccomp:arg,nsubj:arg]","['ccomp:arg', 'nsubj:arg']",2
'24,'24-6,cosuu,"V[iobj:arg,nsubj:arg]","['iobj:arg', 'nsubj:arg']",2
'25,'25-2,heyuu,"V[ccomp:arg,iobj:arg,nsubj:arg]","['ccomp:arg', 'iobj:arg', 'nsubj:arg']",3
'25,'25-7,kʋyʋʋ,V[nsubj:arg],['nsubj:arg'],1
'26,'26-2,wobu,V[nsubj:arg],['nsubj:arg'],1
'26,'26-8,wɛʋ,V[nsubj:arg],['nsubj:arg'],1
'27,'27-2,kʋyʋʋ,V[nsubj:arg],['nsubj:arg'],1
'27,'27-9,kpaʋ,"V[nsubj:arg,obj:arg]","['nsubj:arg', 'obj:arg']",2
'28,'28-2,wonuu,"V[nsubj:arg,obj:arg]","['nsubj:arg', 'obj:arg']",2
'28,'28-8,wɩlʋʋ,"V[iobj:arg,nsubj:arg]","['iobj:arg', 'nsubj:arg']",2
'29,'29-2,kpaʋ,"V[nsubj:arg,obj:arg]","['nsubj:arg', 'obj:arg']",2
'30,'30-5,lɩzʋʋ,"V[nsubj:arg,obj:arg]","['nsubj:arg', 'obj:arg']",2
'31,'31-2,suu,V[nsubj:arg],['nsubj:arg'],1
'32,'32-4,mɩzʋʋ,"V[nsubj:arg,obj:arg]","['nsubj:arg', 'obj:arg']",2
'32,'32-8,yebu,"V[nsubj:arg,obj:arg]","['nsubj:arg', 'obj:arg']",2
