Verb1,Verb2,CosineSimilarity
kɛnʋʋ,labɩnʋʋ,1.0000000000000002
seɣtuu,yɛɖʋʋ,1.0000000000000002
hɔɔzʋʋ,ɖɩŋʋʋ,1.0000000000000002
kpɛdʋʋ,you,1.0000000000000002
cɔtʋʋ,you,1.0000000000000002
hʋlʋʋ,yaɣʋ,1.0000000000000002
feŋuu,kpɛdʋʋ,1.0000000000000002
hɔɔzʋʋ,hʋm,1.0000000000000002
hʋm,ɖɩŋʋʋ,1.0000000000000002
seɣtuu,ɖozuu,1.0000000000000002
yɛɖʋʋ,ɖozuu,1.0000000000000002
kɛzʋʋ,malɩsʋʋ,1.0000000000000002
feŋuu,hazʋʋ,1.0000000000000002
nezuu,weʋ,1.0000000000000002
caɣʋʋ,weʋ,1.0000000000000002
feŋuu,hayʋʋ,1.0000000000000002
hayʋʋ,hazʋʋ,1.0000000000000002
cɔtʋʋ,feŋuu,1.0000000000000002
hazʋʋ,kpɛdʋʋ,1.0000000000000002
sʋnʋʋ,ɖiyuu,1.0000000000000002
ñasʋʋ,ɖʋnʋʋ,1.0000000000000002
hayʋʋ,kpɛdʋʋ,1.0000000000000002
cɔtʋʋ,hayʋʋ,1.0000000000000002
hazʋʋ,you,1.0000000000000002
nezuu,posuu,1.0000000000000002
cɔtʋʋ,hazʋʋ,1.0000000000000002
huu,ñɩŋʋʋ,1.0000000000000002
hayʋʋ,you,1.0000000000000002
cɔtʋʋ,kpɛdʋʋ,1.0000000000000002
posuu,weʋ,1.0000000000000002
huu,ɖɛzʋʋ,1.0000000000000002
caɣʋʋ,nezuu,1.0000000000000002
ñɩŋʋʋ,ɖɛzʋʋ,1.0000000000000002
feŋuu,you,1.0000000000000002
layʋʋ,yɩɣyʋʋ,1.0000000000000002
caɣʋʋ,posuu,1.0000000000000002
kpadɩyʋʋ,ɖem,1.0000000000000002
wanʋʋ,yonuu,1.0
hʋlɩsʋʋ,ñaɣzʋʋ,1.0
suluu,yonuu,1.0
wanʋʋ,yozuu,1.0
wanʋʋ,yɔlɩsʋʋ,1.0
pasʋʋ,ñaɣyʋʋ,1.0
hʋlɩsʋʋ,ñaɣyʋʋ,1.0
suluu,yozuu,1.0
tuuluu,woŋuu,1.0
tuuluu,wonʋʋ,1.0
sazʋʋ,siu,1.0
kpiyuu,ñɩm,1.0
sazʋʋ,siɣʋ,1.0
sazʋʋ,suluu,1.0
kuu,suyuu,1.0
suluu,yɔlɩsʋʋ,1.0
wanʋʋ,yasʋʋ,1.0
kpiyuu,ɖenuu,1.0
kpiyuu,ɖizuu,1.0
suluu,ñazʋʋ,1.0
nɩɣzʋʋ,sezuu,1.0
liu,paɖʋʋ,1.0
liu,pasʋʋ,1.0
wanʋʋ,welesinuu,1.0
wanʋʋ,wonʋʋ,1.0
hʋlɩsʋʋ,ñazʋʋ,1.0
wanʋʋ,woŋuu,1.0
hʋlɩsʋʋ,ñɩm,1.0
kuu,susunuu,1.0
hʋlɩsʋʋ,ñɩbʋ,1.0
tuuluu,yasʋʋ,1.0
hʋlɩsʋʋ,ñɔkɔyɩnʋʋ,1.0
sazʋʋ,susunuu,1.0
tuuluu,wanʋʋ,1.0
tuuluu,welesinuu,1.0
sazʋʋ,tuuluu,1.0
hʋlɩsʋʋ,yɔlɩsʋʋ,1.0
wanʋʋ,ñɩm,1.0
sazʋʋ,tuu,1.0
tituu,wasʋʋ,1.0
wanʋʋ,ɖenuu,1.0
kpiyuu,ñaɣzʋʋ,1.0
kpiyuu,ñaɣyʋʋ,1.0
sazʋʋ,tuduu,1.0
suluu,wonʋʋ,1.0
sazʋʋ,tɔyɩtʋʋ,1.0
kpiyuu,ñazʋʋ,1.0
hʋlɩsʋʋ,yozuu,1.0
wanʋʋ,ɖizuu,1.0
sazʋʋ,tɩɣyʋʋ,1.0
kpiyuu,ñɔkɔyɩnʋʋ,1.0
sazʋʋ,tolisuu,1.0
tuuluu,yonuu,1.0
sazʋʋ,sɩɣlʋʋ,1.0
sazʋʋ,suyuu,1.0
suluu,yasʋʋ,1.0
