verb_lemma,V[],"V[ccomp:arg,expl,iobj:arg,obj:arg]","V[ccomp:arg,expl,obj:arg]","V[ccomp:arg,expl]","V[ccomp:arg,iobj:arg,nsubj:arg,obl:arg]","V[ccomp:arg,iobj:arg,nsubj:arg]","V[ccomp:arg,iobj:arg]","V[ccomp:arg,nsubj:arg,obj:arg]","V[ccomp:arg,nsubj:arg,obl:arg]","V[ccomp:arg,nsubj:arg,xcomp:arg]","V[ccomp:arg,nsubj:arg]","V[ccomp:arg,obj:arg]",V[ccomp:arg],"V[expl,iobj:arg,obj:arg]","V[expl,nsubj:arg]","V[expl,obj:arg,obl:arg]","V[expl,obj:arg,xcomp:arg]","V[expl,obj:arg]","V[expl,obl:arg]","V[expl,xcomp:arg]",V[expl],"V[iobj:arg,nsubj:arg,obj:arg]","V[iobj:arg,nsubj:arg,obl:arg]","V[iobj:arg,nsubj:arg,xcomp:arg]","V[iobj:arg,nsubj:arg]","V[iobj:arg,obj:arg]",V[iobj:arg],"V[nsubj:arg,obj:arg,obl:arg]","V[nsubj:arg,obj:arg,xcomp:arg]","V[nsubj:arg,obj:arg]","V[nsubj:arg,obl:arg]","V[nsubj:arg,xcomp:arg]",V[nsubj:arg],"V[obj:arg,obl:arg]","V[obj:arg,xcomp:arg]",V[obj:arg],"V[obl:arg,xcomp:arg]",V[obl:arg],V[xcomp:arg]
Kʋyʋʋ,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tiyinuu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
cadʋʋ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
calʋ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
calʋʋ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0
canʋʋ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
cazʋʋ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,4,1,0,0,0,0,0,0
caɣnʋʋ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
caɣzʋʋ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
caɣʋ,9,0,0,0,0,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,16,12,2,43,0,0,1,0,0,0
caɣʋʋ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
